rank,user_id,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Run,Row,1RM Strict Press,3RM Back Squat,5RM Deadlift
1,01hnp2w5kbzyr97z88c1tem3sa,Lizzie,White,Lizzie White,Female,,,https://ui-avatars.com/api/?name=L+W&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.161KM,3.095KM,,,
2,01m16dn34n5wh1m15rytb9pk4e,Josephine,Cornut danjou,Josephine Cornut danjou,Female,,,https://ui-avatars.com/api/?name=J+C+d&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,3.243KM,,,
3,01kpz0jjwzs6gzpbq231jcjg1e,Laura,Horvath,Laura Horvath,Female,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,3KM,2.211KM,,,
4,01h2typnd50yayaqzh0n140d99,Alice,Hardy,Alice Hardy,Female,United Kingdom,Hardys health and fitness,https://ui-avatars.com/api/?name=A+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.547KM,2.637KM,,,
5,01k9j863sgkvgcyqf6a7tmp6bf,Valentina,Fitz,Valentina Fitz,Female,,,https://ui-avatars.com/api/?name=V+F&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.63KM,3.373KM,,,
6,01m07zej2ep65nhxz6f3e2pa12,Camille,Julien,Camille Julien,Female,France,Crossfit Genas,https://ui-avatars.com/api/?name=C+J&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.646KM,2.343KM,,,
7,01kn24f1sretwsthyj0vbchke2,Loréna,Madaschi,Loréna Madaschi,Female,,,https://ui-avatars.com/api/?name=L+M&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.956KM,,,
8,01kka27e2vbyetx8xg1bvmtnp0,Stella,Cantie,Stella Cantie,Female,France,,https://ui-avatars.com/api/?name=S+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.939KM,,,
9,01kn6yrvp5a8s7snsnj4k74x4x,edwige,alfred,edwige alfred,Female,,,https://ui-avatars.com/api/?name=e+a&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.63KM,2.292KM,,,
10,01kb81v8z2xkw5z9xk003xrank,Lea,Cosson,Lea Cosson,Female,,,https://ui-avatars.com/api/?name=L+C&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.917KM,,,
11,01kyab3t86hfa1thr37vfr71pg,Manon,Poulignier,Manon Poulignier,Female,,,https://ui-avatars.com/api/?name=M+P&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.834KM,,,
12,01kd6fparckra738pqm0z7mgnw,Elodie,Cadieu,Elodie Cadieu,Female,,,https://ui-avatars.com/api/?name=E+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.827KM,,,
13,01jazm43x77ep7snrasfwp87x4,Clelia,Edouard,Clelia Edouard,Female,,,https://ui-avatars.com/api/?name=C+E&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.819KM,,,
