rank,user_id,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,5RM Back Squat,10RM Strict Press,Part A Run,Part B Bike,3RM Pull Up,Shoulder to overhead 3 rep max,Deadlift 5 rep max,Weighted Pull-Up 1 rep max,Shoulder to overhead 1 rep max,Back squat 10 rep max,Front squat 10 rep max,Max number of strict pull-up reps as a pair
1,01kghcc5vqmdqfhfdg75k1vdqw,Benedetta,Marcheselli,Benedetta Marcheselli,Female,,,https://ui-avatars.com/api/?name=B+M&color=FFFFFF&background=000000,ATHX MILAN 2026,Italy 🇮🇹,2026,Female,ATHX,Strength,36KG,80KG,830KG,,,,,,,,,,,,,,
2,01hvmht4qrcwdqpad6dqkt6nm8,Eilidh,Scott,Eilidh Scott,Female,,,https://ui-avatars.com/api/?name=E+S&color=FFFFFF&background=000000,ATHX GLASGOW 2026,United Kingdom 🇬🇧,2026,Female,ATHX,Strength,35KG,665KG,78KG,,,,,,,,,,,,,,
3,01kj5p098715xawg8v7he371gc,Malaika,Martin,Malaika Martin,Female,United Kingdom,,https://ui-avatars.com/api/?name=M+M&color=FFFFFF&background=000000,ATHX GLASGOW 2026,United Kingdom 🇬🇧,2026,Female,ATHX,Strength,65KG,140KG,180KG,,,,,,,,,,,,,,
4,01kj3h5sea55x7cph497r3m95q,Ariana,Pacheco,Ariana Pacheco,Female,,,https://ui-avatars.com/api/?name=A+P&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Strength,75KG,140KG,155KG,,,,,,,,,,,,,,
5,01k889jf6rvbgn91efr5v90aq6,Hollie,Tobun,Hollie Tobun,Female,,,https://ui-avatars.com/api/?name=H+T&color=FFFFFF&background=000000,ATHX LONDON 2026,United Kingdom 🇬🇧,2026,Female,ATHX,Strength,58KG,160KG,150KG,,,,,,,,,,,,,,
6,01khkhhg5xrggh15pe7bj9v09h,Francesca,Seminara,Francesca Seminara,Female,,,https://ui-avatars.com/api/?name=F+S&color=FFFFFF&background=000000,ATHX MILAN 2026,Italy 🇮🇹,2026,Female,ATHX,Strength,50KG,152KG,165KG,,,,,,,,,,,,,,
7,01kpy1p9rjhhbpw2g5tyq8kc20,Safinez,Salvatore,Safinez Salvatore,Female,,,https://ui-avatars.com/api/?name=S+S&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX,Strength,77KG,120KG,160KG,,,,,,,,,,,,,,
8,01kfk06j8x90cgd50wpsqem5em,Libânia,Magalhães,Libânia Magalhães,Female,,,https://ui-avatars.com/api/?name=L+M&color=FFFFFF&background=000000,ATHX MUNICH 2026,Germany 🇩🇪,2026,Female,ATHX,Strength,68KG,135KG,145KG,,,,,,,,,,,,,,
9,01kjzast5k170bes2g6k02jee9,Lorena,Di Bella,Lorena Di Bella,Female,,,https://ui-avatars.com/api/?name=L+D+B&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Strength,55KG,120KG,170KG,,,,,,,,,,,,,,
9,01kzp2cr91bwq3kr7bfg1k2fwc,Antonia,Kottulinsky,Antonia Kottulinsky,Female,,,https://ui-avatars.com/api/?name=A+K&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX,Strength,60KG,140KG,145KG,,,,,,,,,,,,,,
9,01kxv005eheemnhf3q8nr0hb8p,Sabrina,Raahauge,Sabrina Raahauge,Female,,,https://ui-avatars.com/api/?name=S+R&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX,Strength,60KG,130KG,155KG,,,,,,,,,,,,,,
12,01ke0dg78qmd99ztffmtywfdtt,Marzia,Cenedese,Marzia Cenedese,Female,Italy,Crossfit Ca' del Drago,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX MILAN 2026,Italy 🇮🇹,2026,Female,ATHX,Strength,62KG,142KG,140KG,,,,,,,,,,,,,,
13,01k8dbc7pcdz1q01m7yq1y06mj,Emmerleigh,Barter,Emmerleigh Barter,Female,,,https://ui-avatars.com/api/?name=E+B&color=FFFFFF&background=000000,ATHX GLASGOW 2026,United Kingdom 🇬🇧,2026,Female,ATHX,Strength,50KG,140KG,150KG,,,,,,,,,,,,,,
14,01k817bbs011ycxnnbpkjt4xkt,Jodie,finnigan,Jodie finnigan,Female,,,https://athxgames.com/storage/profile-photos/2hxRYvdpCY4JMSBdiqAMSmhMtMOO1Cc7FhPWNkBG.jpg,ATHX LONDON 2026,United Kingdom 🇬🇧,2026,Female,ATHX,Strength,63KG,126KG,150KG,,,,,,,,,,,,,,
15,01kzt3s0w1cb915knm55a3sd4x,Jade,Conchonnet,Jade Conchonnet,Female,,,https://ui-avatars.com/api/?name=J+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX,Strength,55KG,130KG,152KG,,,,,,,,,,,,,,
16,01km1ck8gyrc4g321ecnt7d0qy,Maria,Camila,Maria Camila,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Strength,80KG,115KG,140KG,,,,,,,,,,,,,,
16,01kpwpt64a9gypv1k0akk04e1v,Credou,Ophélie,Credou Ophélie,Female,,,https://ui-avatars.com/api/?name=C+O&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX,Strength,30KG,115KG,190KG,,,,,,,,,,,,,,
