rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Camilla,Massa,Camilla Massa,Female,,,https://ui-avatars.com/api/?name=C+M&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.549KM,1
2,Terra,Jackson,Terra Jackson,Female,,,https://ui-avatars.com/api/?name=T+J&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.496KM,2
3,Emily,Rolfe,Emily Rolfe,Female,,,https://ui-avatars.com/api/?name=E+R&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.474KM,3
4,Sydney,Wells,Sydney Wells,Female,,,https://ui-avatars.com/api/?name=S+W&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.356KM,4
5,Arielle,Loewen,Arielle Loewen,Female,,,https://ui-avatars.com/api/?name=A+L&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.211KM,5
6,Jennifer,Muir,Jennifer Muir,Female,United Kingdom,CrossFit Kirkintilloch,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.09KM,6
7,Hannah,Black,Hannah Black,Female,,,https://ui-avatars.com/api/?name=H+B&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.029KM,7
8,Lauren,Rantala,Lauren Rantala,Female,United States,Ranta Howe Fit,https://ui-avatars.com/api/?name=L+R&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.012KM,8
9,Sydney,Smith,Sydney Smith,Female,,,https://ui-avatars.com/api/?name=S+S&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2.006KM,9
10,Lindsay,Bessegato,Lindsay Bessegato,Female,Canada,,https://ui-avatars.com/api/?name=L+B&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3KM,2KM,10
11,Lena,Richter,Lena Richter,Female,,,https://ui-avatars.com/api/?name=L+R&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,2.842KM,2.018KM,11
12,Sasha,Nievas,Sasha Nievas,Female,,,https://ui-avatars.com/api/?name=S+N&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,2.293KM,2.011KM,12
13,Alexia,Zuloaga,Alexia Zuloaga,Female,,,https://ui-avatars.com/api/?name=A+Z&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,2.036KM,2.005KM,13
14,Erin,Murray,Erin Murray,Female,,,https://ui-avatars.com/api/?name=E+M&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,2KM,1.648KM,14
15,Sherrie,Gonzalez,Sherrie Gonzalez,Female,United States,One Asterisk CrossFit,https://ui-avatars.com/api/?name=S+G&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Endurance,,,,,,,1.75KM,1.727KM,15
