rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Lizzie Hall & Lizzie White,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Overall,1 (337KG),1 (17.546KM),1 (11:48),,,,,,3
2,Kat Wilson & Ruth Davidson,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Overall,3 (280KG),2 (16.899KM),3 (15:10),,,,,,8
3,Clare Shepherd & Rebecca Scofield,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Overall,4 (270KG),4 (16.346KM),2 (14:07),,,,,,10
4,Jade Brier & Nicolle Grant,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Overall,2 (298KG),5 (15.608KM),4 (15:22),,,,,,11
5,Maxine Walker & sarah delieu,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Overall,5 (230KG),3 (16.529KM),5 (16:00),,,,,,13
1,Chandler Smith & Jessie Smith,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,1 (531KG),1 (19.147KM),2 (10:13),,,,,,4
2,Karim Djidel & Robin Swinkels,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,4 (463KG),2 (18.998KM),4 (12:20),,,,,,10
3,Emma Häggström & Adam Selmani,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,5 (450KG),3 (18.868KM),3 (11:52),,,,,,11
4,Anna Donauer & Lars Jakobeit,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,2 (479KG),6 (17.726KM),5 (12:26),,,,,,13
5,Keziah Campbell & Will Smith,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,6 (428KG),4 (18.761KM),6 (13:02),,,,,,16
6,Dan Lapping & Melanie Bradley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,7 (402KG),5 (18.23KM),7 (13:10),,,,,,19
7,Jade Smith & Danny McFaden,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,3 (471KG),10 (16.15KM),11 (16:06),,,,,,24
8,Megan Chillmaid & Connor Flynn,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,10 (351KG),7 (17.685KM),9 (14:43),,,,,,26
9,Graham Keenan & yasmin Team,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,9 (377KG),8 (17.366KM),10 (15:14),,,,,,27
10,Tim Cima & Holly Buckley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,11 (325KG),9 (16.875KM),8 (14:18),,,,,,28
11,Dana Manco Pau & Daniel Dacosta,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,Overall,7 (402KG),11 (15.755KM),12 (19:23),,,,,,30
1,Hannah Brown & Alice Hardy,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,11:36,,,,,,1
2,Kate Lord & karleigh wright,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,12:13,,,,,,2
3,Barbara Kiss & Sarah Catford,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,12:16,,,,,,3
4,Maebh Moriarty & Tiarna Grimes,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,12:35,,,,,,4
5,Jacinda Brass & Kyra Waterfall,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,12:53,,,,,,5
6,Beth Lucey & Jodi Hooper,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,12:59,,,,,,6
7,Samantha Johnson & Aliya Arthur,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,13:30,,,,,,7
8,Jenni Tardiff & Danielle Jahnke,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,13:35,,,,,,8
9,Pippa Tilney & Helen Livingstone,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,13:44,,,,,,9
9,Kaisa Larkas & Saba Ahmad,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,13:44,,,,,,9
11,Kristina Johansson & Natalie Branston,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,13:50,,,,,,11
12,Lucy Hatton & Anna Faux,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,14:14,,,,,,12
13,Lucy Berry & Sophie Field,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,14:15,,,,,,13
14,Maddy Dawson & Hannah Gaves,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,14:16,,,,,,14
15,Cat Rhun & Annie Shaw,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,14:47,,,,,,15
16,Niamh Young & Carol Ritchie,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:02,,,,,,16
17,Madeline Hodge & Florence Kinnafick,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:10,,,,,,17
18,Evelyn Tong & Nerys James,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:19,,,,,,18
18,Leanne Vickers & Hannah Willmett,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:19,,,,,,18
20,Abbi Lyons & Sophie Snowdon,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:23,,,,,,20
21,Louise Parry & Rebecca Phillips,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:26,,,,,,21
22,Cara Savage & Kirsty McConachie,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:32,,,,,,22
23,Charlotte Campbell & Rachel Clark,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:35,,,,,,23
24,Charlotte Mccrossin & sara Team,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:42,,,,,,24
25,Emma Wright & Michelle Kenny,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,15:45,,,,,,25
26,Laura Pearson & Harriet Coates,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,16:03,,,,,,26
27,Samantha Cavanagh & Nadine Heron,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,16:26,,,,,,27
28,Mel Warwick & Lyndsey Hester,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,16:34,,,,,,28
29,Liza Smith & MAXINE WOOD,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,16:41,,,,,,29
30,Charlotte Natter & Holly Hewlett,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,MetCon X,,,16:44,,,,,,30
